hour,pressure_value
0:00:00,37.61161597
1:00:00,37.55923413
2:00:00,37.37896154
3:00:00,37.82761312
4:00:00,37.71800652
5:00:00,37.75721521
6:00:00,39.26010773
7:00:00,39.88451963
8:00:00,39.51304483
9:00:00,37.3206698
10:00:00,38.59298913
11:00:00,38.81019413
12:00:00,39.75276532
13:00:00,39.08951176
14:00:00,39.50458854
15:00:00,37.28478812
16:00:00,36.87677756
17:00:00,36.16507551
18:00:00,35.8060389
19:00:00,35.18291177
20:00:00,35.86117079
21:00:00,35.91705754
22:00:00,36.68756664
23:00:00,37.88358752
24:00:00,37.60720415
25:00:00,37.56127668
26:00:00,37.37942527
27:00:00,37.85388533
28:00:00,37.73741128
29:00:00,37.75282295
30:00:00,39.25745903
31:00:00,39.89298384
32:00:00,39.52164279
33:00:00,37.31269593
34:00:00,38.57411154
35:00:00,38.79539848
36:00:00,39.73548021
37:00:00,39.06782069
38:00:00,39.50755155
39:00:00,37.26730933
40:00:00,36.86868276
41:00:00,36.13846051
42:00:00,35.82217329
43:00:00,35.21198143
44:00:00,35.83362256
45:00:00,35.91639858
46:00:00,36.70428738
47:00:00,37.88919164
48:00:00,37.58511594
49:00:00,37.57429086
50:00:00,37.382642
51:00:00,37.86283595
52:00:00,37.7366672
53:00:00,37.76120718
54:00:00,39.24904111
55:00:00,39.89756395
56:00:00,39.50170516
57:00:00,37.29673227
58:00:00,38.58596326
59:00:00,38.82650275
60:00:00,39.7244575
61:00:00,39.08369574
62:00:00,39.51791447
63:00:00,37.26974809
64:00:00,36.87375279
65:00:00,36.16145911
66:00:00,35.80983642
67:00:00,35.19822922
68:00:00,35.85676603
69:00:00,35.91041455
70:00:00,36.68847338
71:00:00,37.88780552
72:00:00,37.60018544
73:00:00,37.56948855
74:00:00,37.37025822
75:00:00,37.828535
76:00:00,37.7370968
77:00:00,37.76118906
78:00:00,39.25985362
79:00:00,39.89337107
80:00:00,39.49745113
81:00:00,37.30066276
82:00:00,38.57913692
83:00:00,38.81783884
84:00:00,39.73595144
85:00:00,39.07751478
86:00:00,39.49612792
87:00:00,37.25404783
88:00:00,36.85609288
89:00:00,36.15928178
90:00:00,35.79557124
91:00:00,35.21859079
92:00:00,35.85970964
93:00:00,35.91674738
94:00:00,36.70865307
95:00:00,37.89740835
96:00:00,37.60652319
97:00:00,37.56718727
98:00:00,37.38206643
99:00:00,37.85396654
100:00:00,37.7318541
101:00:00,37.75676267
102:00:00,39.26975354
103:00:00,39.90089206
104:00:00,39.50618327
105:00:00,37.29963581
106:00:00,38.59561309
107:00:00,38.82452132
108:00:00,39.73495597
109:00:00,39.06835033
110:00:00,39.51162459
111:00:00,37.27995384
112:00:00,36.87137867
113:00:00,36.15645139
114:00:00,35.82326289
115:00:00,35.21819389
116:00:00,35.8533972
117:00:00,35.91051122
118:00:00,36.69236034
119:00:00,37.88403942
120:00:00,37.60170746
